name	type	latitude	longitude	voivodeship
Aleksandrowice	wieś	51.442778	16.786667	dolnośląskie
Aleksandrowice	wieś	50.081111	19.763056	małopolskie
Aleksandrowo	wieś	52.904167	17.494444	wielkopolskie
Aleksandrowo	wieś	53.222222	18.140000	kujawsko-pomorskie
Aleksandrowo	wieś	52.815000	18.049444	kujawsko-pomorskie
Aleksandrowo	wieś	52.674722	18.872500	kujawsko-pomorskie
Aleksandrowo	wieś	52.627778	19.906667	mazowieckie
Aleksandrowo	wieś	54.085833	22.772778	podlaskie
Aleksandrowo	wieś	54.095278	23.159167	podlaskie
Aleksandrowo	wieś	52.570000	22.788889	podlaskie
Aleksandrowo	wieś	53.156667	21.424722	mazowieckie
Aleksandrowo	wieś	53.052222	21.900556	mazowieckie
Aleksandrów	wieś	52.018333	18.656667	wielkopolskie
Aleksandrów	wieś	51.900556	18.226111	wielkopolskie
Aleksandrów	wieś	51.095833	18.472500	opolskie
Aleksandrów	wieś	52.250833	18.987500	wielkopolskie
Aleksandrów	wieś	52.328333	19.410000	łódzkie
Aleksandrów	wieś	52.237222	19.566667	łódzkie
Aleksandrów	wieś	52.404167	21.048333	mazowieckie
Aleksandrów	wieś	52.326389	19.829722	mazowieckie
Aleksandrów	wieś	52.305000	19.951111	mazowieckie
Aleksandrów	wieś	52.338611	20.630833	mazowieckie
Aleksandrów	wieś	52.256667	20.127222	mazowieckie
Aleksandrów	wieś	52.140278	20.321111	mazowieckie
Aleksandrów	wieś	51.819167	20.514167	łódzkie
Aleksandrów	wieś	52.214444	21.723889	mazowieckie
Aleksandrów	wieś	51.925556	20.718889	mazowieckie
Aleksandrów	wieś	51.943056	21.178889	mazowieckie
Aleksandrów	wieś	51.815556	21.545278	mazowieckie
Aleksandrów	wieś	51.628056	19.864722	łódzkie
Aleksandrów	wieś	51.766944	21.326944	mazowieckie
Aleksandrów	wieś	51.901667	22.462222	lubelskie
Aleksandrów	wieś	51.894167	22.068611	lubelskie
Aleksandrów	wieś	51.589167	20.790000	mazowieckie
Aleksandrów	wieś	51.420833	21.345000	mazowieckie
Aleksandrów	wieś	51.166389	21.521389	mazowieckie
Aleksandrów	wieś	51.213333	20.755556	mazowieckie
Aleksandrów Duży	wieś	51.081944	21.585278	mazowieckie
Aleksandrów	wieś	50.932778	21.972500	lubelskie
Aleksandrów	wieś	51.290278	18.893611	łódzkie
Aleksandrów	wieś	51.241667	19.255278	łódzkie
Aleksandrów	wieś	51.228889	19.491667	łódzkie
Aleksandrów	wieś	51.266111	19.978056	łódzkie
Aleksandrów	wieś	50.781667	19.766389	śląskie
Aleksandrów k. Wąsosza	wieś	50.730000	19.690556	śląskie
Aleksandrów	wieś	50.576111	20.156111	świętokrzyskie
Aleksandrów	wieś	50.426944	20.515000	świętokrzyskie
Aleksandrów	wieś	50.917500	18.720556	śląskie
Aleksandrów Kujawski	miasto	52.875000	18.694722	kujawsko-pomorskie
Aleksandrów Łódzki	miasto	51.820278	19.305000	łódzkie
Aleksandrówek	wieś	52.077500	18.082222	wielkopolskie
Aleksandrówek	wieś	52.170000	19.014722	łódzkie
Aleksandrówek	wieś	51.858889	19.002222	łódzkie
Aleksandrówek	wieś	51.561389	19.205278	łódzkie
Aleksandrówka	wieś	52.241667	18.638889	wielkopolskie
Aleksandrówka	wieś	52.192778	19.707500	łódzkie
Aleksandrówka	wieś	54.270833	23.112222	podlaskie
Aleksandrówka	wieś	52.204722	21.417500	mazowieckie
Aleksandrówka	wieś	52.231389	22.065278	mazowieckie
Aleksandrówka	wieś	51.837500	22.760000	lubelskie
Aleksandrówka	wieś	51.849444	20.753056	mazowieckie
Aleksandrówka	wieś	51.964167	22.095278	lubelskie
Aleksandrówka	wieś	51.486389	22.404444	lubelskie
Aleksandrówka	wieś	51.570833	21.543611	mazowieckie
Aleksandrówka	wieś	51.415556	21.626944	mazowieckie
Aleksandrówka	wieś	50.870833	22.447500	lubelskie
Aleksandrówka	wieś	51.925833	19.026667	łódzkie
Aleksandrówka	wieś	50.820000	19.525278	śląskie
Aleksandrynów	wieś	52.502500	19.377778	mazowieckie
Aleksicze	wieś	52.968889	23.361111	podlaskie
Aleksiejówka	wieś	54.046667	23.365556	podlaskie
Alfonsowo	wieś	51.783333	20.969167	mazowieckie
Alfonsów	wieś	52.400278	19.877222	mazowieckie
Alfonsów	wieś	51.805000	18.810278	łódzkie
Alfonsów	wieś	51.722222	19.165278	łódzkie
Alfonsów	wieś	51.325278	20.126944	łódzkie
Alfredówka	wieś	50.464722	21.740278	podkarpackie
Alinowo	wieś	52.395000	18.137222	wielkopolskie
Alojzów	wieś	50.990278	23.552500	lubelskie
Alojzów	wieś	51.220833	21.255000	mazowieckie
Alojzów	wieś	50.752778	23.818611	lubelskie
Altana	wieś	52.705278	18.618333	kujawsko-pomorskie
Altanka	wieś	52.252500	20.217500	mazowieckie
Alwernia	miasto	50.068611	19.541944	małopolskie
Amandów	wieś	50.141111	18.066389	śląskie
Ambrożew	wieś	52.030000	19.315556	łódzkie
Ambrożów	wieś	50.936389	21.110556	świętokrzyskie
Amelin	wieś	53.064722	21.238056	mazowieckie
Amelin	wieś	51.626389	22.677778	lubelskie
Amelin	wieś	51.429444	22.371944	lubelskie
Amelin	wieś	51.058611	19.515556	łódzkie
Ameryka	wieś	50.633889	23.911944	lubelskie
Anastazew	wieś	52.523333	21.488333	mazowieckie
Anastazew	wieś	51.895833	19.195556	łódzkie
Anastazewo	wieś	52.453889	18.029722	wielkopolskie
Anastazów	wieś	51.412500	19.322222	łódzkie
Anatolin	wieś	52.325278	19.764167	mazowieckie
Ancuty	wieś	52.924444	23.489722	podlaskie
Andrespol	wieś	51.725556	19.638889	łódzkie
Andruszkowice	wieś	50.668056	21.701944	świętokrzyskie
Andrychów	miasto	49.852778	19.341389	małopolskie
Andrychy	wieś	53.511667	22.145556	podlaskie
Andryjanki	wieś	52.608889	22.997222	podlaskie
Andrzejewo	wieś	54.283056	23.092222	podlaskie
Andrzejewo	wieś	52.830556	22.200278	mazowieckie
Andrzejki	wieś	53.104444	21.996389	podlaskie
Andrzejki-Tyszki	wieś	52.973333	21.947500	mazowieckie
Andrzejów	wieś	51.181667	18.233889	łódzkie
Andrzejów	wieś	52.309722	20.318611	mazowieckie
Andrzejów	wieś	51.386667	23.219167	lubelskie
Andrzejów	wieś	51.080833	23.685000	lubelskie
Andrzejów	wieś	51.287222	21.754722	mazowieckie
Andrzejów	wieś	50.765556	22.440278	lubelskie
Andrzejów	wieś	51.614722	18.878333	łódzkie
Andrzejów	wieś	51.292778	19.043611	łódzkie
Andrzejów Duranowski	wieś	52.199444	20.249444	mazowieckie
Andrzejówka	wieś	51.411667	21.602500	mazowieckie
Andrzejówka	wieś	50.593333	22.608056	lubelskie
Andrzejówka	wieś	50.644444	23.851667	lubelskie
Andrzejówka	wieś	49.341667	20.823333	małopolskie
Andzin	wieś	52.586111	20.678611	mazowieckie
Annetów	wieś	52.200556	19.655278	łódzkie
Angowice	wieś	53.655833	17.560556	pomorskie
Anielew	wieś	52.274722	18.317500	wielkopolskie
Anielew	wieś	52.168611	21.659167	mazowieckie
Anielewo	wieś	52.103889	17.803333	wielkopolskie
Anielewo	wieś	52.333611	18.085833	wielkopolskie
